uniprot	swissprot	name	act_value	act_type	action_type	source_name	reference	smiles	ChEMBL_Id
P00519	ABL1_HUMAN	radotinib	7.514278411865234	IC50	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/25676420	CC1=CN(C=N1)C1=CC(NC(=O)C2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=N3)=C2)=CC(=C1)C(F)(F)F	CHEMBL4297524
P35968	VGFR2_HUMAN	apatinib	9.0	IC50	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/21443688	O=C(NC1=CC=C(C=C1)C1(CCCC1)C#N)C1=CC=CN=C1NCC1=CC=NC=C1	CHEMBL3186534
P08172	ACM2_HUMAN	methanthelinium			ANTAGONIST	KEGG DRUG	http://www.kegg.jp/entry/D00721	CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	CHEMBL1200988
P08173	ACM4_HUMAN	methanthelinium			ANTAGONIST	KEGG DRUG	http://www.kegg.jp/entry/D00721	CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	CHEMBL1200988
P08912	ACM5_HUMAN	methanthelinium			ANTAGONIST	KEGG DRUG	http://www.kegg.jp/entry/D00721	CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	CHEMBL1200988
P11229	ACM1_HUMAN	methanthelinium			ANTAGONIST	KEGG DRUG	http://www.kegg.jp/entry/D00721	CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	CHEMBL1200988
P20309	ACM3_HUMAN	methanthelinium			ANTAGONIST	KEGG DRUG	http://www.kegg.jp/entry/D00721	CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	CHEMBL1200988
Q13698	CAC1S_HUMAN	verapamil			BLOCKER	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2406	COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1	CHEMBL6966
P08588	ADRB1_HUMAN	landiolol			ANTAGONIST	KEGG DRUG	http://www.kegg.jp/entry/D01847	CC1(C)OC[C@@H](COC(=O)CCC2=CC=C(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)C=C2)O1	CHEMBL1742466
P23219	PGH1_HUMAN	piketoprofen			INHIBITOR	KEGG DRUG	http://www.kegg.jp/entry/D08374	CC(C(=O)NC1=CC(C)=CC=N1)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	CHEMBL2106966
P35354	PGH2_HUMAN	piketoprofen			INHIBITOR	KEGG DRUG	http://www.kegg.jp/entry/D08374	CC(C(=O)NC1=CC(C)=CC=N1)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	CHEMBL2106966
P16234	PGFRA_HUMAN	olaratumab	10.4	Kd	ANTIBODY BINDING	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/761038lbl.pdf		CHEMBL1743049
Q8NAC3	I17RC_HUMAN	brodalumab	9.199999809265137	Kd	ANTIBODY BINDING	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/22455412		CHEMBL1742996
Q96F46	I17RA_HUMAN	brodalumab	9.199999809265137	Kd	ANTIBODY BINDING	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/22455412		CHEMBL1742996
P05107	ITB2_HUMAN	lifitegrast	8.045757293701172	IC50	ANTAGONIST	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/208073s000lbl.pdf	[H][C@@](CC1=CC(=CC=C1)S(C)(=O)=O)(NC(=O)C1=C(Cl)C=C2CN(CCC2=C1Cl)C(=O)C1=CC=C2C=COC2=C1)C(O)=O	CHEMBL2048028
P20701	ITAL_HUMAN	lifitegrast	8.045757293701172	IC50	ANTAGONIST	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/208073s000lbl.pdf	[H][C@@](CC1=CC(=CC=C1)S(C)(=O)=O)(NC(=O)C1=C(Cl)C=C2CN(CCC2=C1Cl)C(=O)C1=CC=C2C=COC2=C1)C(O)=O	CHEMBL2048028
P28335	5HT2C_HUMAN	lorcaserin	7.886056423187256	Ki	AGONIST	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/208524s000lbl.pdf	C[C@H]1CNCCC2=CC=C(Cl)C=C12	CHEMBL360328
P04234	CD3D_HUMAN	muromonab-CD3			ANTIBODY BINDING	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=6889		CHEMBL1201608
P07766	CD3E_HUMAN	muromonab-CD3			ANTIBODY BINDING	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=6889		CHEMBL1201608
P09693	CD3G_HUMAN	muromonab-CD3			ANTIBODY BINDING	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=6889		CHEMBL1201608
P35367	HRH1_HUMAN	bilastine	7.193819999694824	Ki	ANTAGONIST	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/16274260	CCOCCN1C(=NC2=C1C=CC=C2)C1CCN(CCC2=CC=C(C=C2)C(C)(C)C(O)=O)CC1	CHEMBL1742423
P12821	ACE_HUMAN	enalapril	4.3	IC50	INHIBITOR	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=6322	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O	CHEMBL578
P12821	ACE_HUMAN	enalaprilat	7.5	IC50	INHIBITOR	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=6332	C[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O	CHEMBL577
P40238	TPOR_HUMAN	eltrombopag	7.42	EC50	AGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=6961	CC1=NN(C(=O)\C1=N/NC1=CC=CC(C2=CC(=CC=C2)C(O)=O)=C1O)C1=CC(C)=C(C)C=C1	CHEMBL461101
P17181	INAR1_HUMAN	peginterferon beta-1a			AGONIST	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/125499s009lbl.pdf		CHEMBL2108677
P48551	INAR2_HUMAN	peginterferon beta-1a			AGONIST	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/125499s009lbl.pdf		CHEMBL2108677
P17181	INAR1_HUMAN	interferon beta-1a			AGONIST	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/103628s5258lbl.pdf		CHEMBL1201562
P48551	INAR2_HUMAN	interferon beta-1a			AGONIST	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/103628s5258lbl.pdf		CHEMBL1201562
P17181	INAR1_HUMAN	interferon beta-1b			AGONIST	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/103471s5188lbl.pdf		CHEMBL1201563
P48551	INAR2_HUMAN	interferon beta-1b			AGONIST	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/103471s5188lbl.pdf		CHEMBL1201563
P00747	PLMN_HUMAN	alteplase			ACTIVATOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/103172s5203lbl.pdf		CHEMBL1201593
P28223	5HT2A_HUMAN	pimavanserin	9.300000190734863	Ki	INVERSE AGONIST	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/207318lbl.pdf	CC(C)COC1=CC=C(CNC(=O)N(CC2=CC=C(F)C=C2)C2CCN(C)CC2)C=C1	CHEMBL2111101
P21964	COMT_HUMAN	opicapone	9.0	Ki	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/24847974	CC1=C(C2=NOC(=N2)C2=CC(O)=C(O)C(=C2)[N+]([O-])=O)C(Cl)=[N+]([O-])C(C)=C1Cl	CHEMBL1089318
P22888	LSHR_HUMAN	choriogonadotropin alfa			AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201464		CHEMBL1201464
P06280	AGAL_HUMAN	migalastat	7.150000095367432	IC50	PHARMACOLOGICAL CHAPERONE	DRUG LABEL	http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004059/WC500208434.pdf	OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O	CHEMBL110458
P10415	BCL2_HUMAN	venetoclax	11.0	Ki	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/208573s000lbl.pdf	CC1(C)CCC(CN2CCN(CC2)C2=CC(OC3=CC4=C(NC=C4)N=C3)=C(C=C2)C(=O)NS(=O)(=O)C2=CC(=C(NCC3CCOCC3)C=C2)[N+]([O-])=O)=C(C1)C1=CC=C(Cl)C=C1	CHEMBL3137309
P14416	DRD2_HUMAN	rotigotine	10.22	Ki	AGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=941	CCCN(CCC1=CC=CS1)[C@H]1CCC2=C(O)C=CC=C2C1	CHEMBL1303
P06401	PRGR_HUMAN	quingestanol acetate			AGONIST	KEGG DRUG	http://www.kegg.jp/entry/D05679	[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(OC4CCCC4)=CC3=CC[C@@]21[H]	CHEMBL2105291
P20648	ATP4A_HUMAN	dexrabeprazole			INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/2154989	COCCCOC1=CC=NC(C[S@@](=O)C2=NC3=C(N2)C=CC=C3)=C1C	CHEMBL1219
P51164	ATP4B_HUMAN	dexrabeprazole			INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/2154989	COCCCOC1=CC=NC(C[S@@](=O)C2=NC3=C(N2)C=CC=C3)=C1C	CHEMBL1219
P20648	ATP4A_HUMAN	ilaprazole			INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/11304936	COC1=CC=NC(CS(=O)C2=NC3=C(N2)C=CC(=C3)N2C=CC=C2)=C1C	CHEMBL2106370
P51164	ATP4B_HUMAN	ilaprazole			INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/11304936	COC1=CC=NC(CS(=O)C2=NC3=C(N2)C=CC(=C3)N2C=CC=C2)=C1C	CHEMBL2106370
Q01668	CAC1D_HUMAN	cilnidipine			BLOCKER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/9298526	COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC\C=C\C1=CC=CC=C1	CHEMBL452076
Q13936	CAC1C_HUMAN	cilnidipine			BLOCKER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/9298526	COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC\C=C\C1=CC=CC=C1	CHEMBL452076
Q01668	CAC1D_HUMAN	dexniguldipine			BLOCKER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/2547493	COC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCCN1CCC(CC1)(C1=CC=CC=C1)C1=CC=CC=C1	CHEMBL405355
Q13936	CAC1C_HUMAN	dexniguldipine			BLOCKER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/2547493	COC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCCN1CCC(CC1)(C1=CC=CC=C1)C1=CC=CC=C1	CHEMBL405355
P22303	ACES_HUMAN	distigmine			INHIBITOR	KEGG DRUG	http://www.kegg.jp/entry/D01228	CN(CCCCCCN(C)C(=O)OC1=C[N+](C)=CC=C1)C(=O)OC1=C[N+](C)=CC=C1	CHEMBL1098285
Q01668	CAC1D_HUMAN	manidipine			BLOCKER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/8287905	COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1	CHEMBL1085699
Q13936	CAC1C_HUMAN	manidipine			BLOCKER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/8287905	COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1	CHEMBL1085699
Q01668	CAC1D_HUMAN	nilvadipine			BLOCKER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/7898101	COC(=O)C1=C(NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C)C#N	CHEMBL517427
Q13936	CAC1C_HUMAN	nilvadipine			BLOCKER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/7898101	COC(=O)C1=C(NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C)C#N	CHEMBL517427
