name	side_effect
Alemtuzumab	The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Bortezomib.
Alfuzosin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Alfuzosin.
Alimemazine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Alimemazine.
Allogeneic processed thymus tissue	The therapeutic efficacy of Allogeneic processed thymus tissue can be decreased when used in combination with Bortezomib.
Allopurinol	The risk or severity of adverse effects can be increased when Allopurinol is combined with Bortezomib.
Almotriptan	The metabolism of Almotriptan can be decreased when combined with Bortezomib.
Alogliptin	The metabolism of Alogliptin can be decreased when combined with Bortezomib.
Alosetron	The metabolism of Bortezomib can be decreased when combined with Alosetron.
Alpelisib	The serum concentration of Bortezomib can be decreased when it is combined with Alpelisib.
Alteplase	The risk or severity of bleeding can be increased when Alteplase is combined with Bortezomib.
Altretamine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Altretamine.
Amantadine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Amantadine.
Ambrisentan	The serum concentration of Bortezomib can be increased when it is combined with Ambrisentan.
Ambroxol	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Ambroxol.
Amifampridine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Amifampridine.
Aminoglutethimide	The metabolism of Bortezomib can be increased when combined with Aminoglutethimide.
Aminophenazone	The metabolism of Aminophenazone can be decreased when combined with Bortezomib.
Aminophylline	The metabolism of Aminophylline can be decreased when combined with Bortezomib.
Amiodarone	The metabolism of Bortezomib can be decreased when combined with Amiodarone.
Amisulpride	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Amisulpride.
Amitriptyline	The metabolism of Amitriptyline can be decreased when combined with Bortezomib.
Amlodipine	The metabolism of Bortezomib can be decreased when combined with Amlodipine.
Amobarbital	The metabolism of Bortezomib can be increased when combined with Amobarbital.
Amodiaquine	The metabolism of Bortezomib can be decreased when combined with Amodiaquine.
Amoxapine	The metabolism of Amoxapine can be decreased when combined with Bortezomib.
Amphetamine	The metabolism of Bortezomib can be decreased when combined with Amphetamine.
Amprenavir	The metabolism of Bortezomib can be decreased when combined with Amprenavir.
Amsacrine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Amsacrine.
Anagrelide	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Anagrelide.
Anakinra	The metabolism of Bortezomib can be increased when combined with Anakinra.
Anastrozole	The risk or severity of cardiotoxicity can be increased when Bortezomib is combined with Anastrozole.
Ancrod	The risk or severity of bleeding can be increased when Ancrod is combined with Bortezomib.
Anifrolumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Anifrolumab.
Anistreplase	The risk or severity of bleeding can be increased when Anistreplase is combined with Bortezomib.
Antazoline	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Antazoline.
Anthrax immune globulin human	The therapeutic efficacy of Anthrax immune globulin human can be decreased when used in combination with Bortezomib.
Anthrax vaccine	The risk or severity of infection can be increased when Anthrax vaccine is combined with Bortezomib.
Antilymphocyte immunoglobulin (horse)	The risk or severity of adverse effects can be increased when Bortezomib is combined with Antilymphocyte immunoglobulin (horse).
Antipyrine	The metabolism of Antipyrine can be decreased when combined with Bortezomib.
Antithrombin Alfa	The risk or severity of bleeding can be increased when Antithrombin Alfa is combined with Bortezomib.
Antithrombin III human	The risk or severity of bleeding can be increased when Antithrombin III human is combined with Bortezomib.
Antithymocyte immunoglobulin (rabbit)	The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Bortezomib.
Apalutamide	The metabolism of Bortezomib can be increased when combined with Apalutamide.
Apixaban	The metabolism of Apixaban can be decreased when combined with Bortezomib.
Apomorphine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Apomorphine.
Apremilast	The metabolism of Bortezomib can be increased when combined with Apremilast.
Aprepitant	The metabolism of Bortezomib can be decreased when combined with Aprepitant.
Ardeparin	The risk or severity of bleeding can be increased when Ardeparin is combined with Bortezomib.
Arformoterol	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Arformoterol.
Argatroban	The risk or severity of bleeding can be increased when Argatroban is combined with Bortezomib.
Aripiprazole	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Aripiprazole.
Aripiprazole lauroxil	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Aripiprazole lauroxil.
Armodafinil	The metabolism of Bortezomib can be increased when combined with Armodafinil.
Arsenic trioxide	The serum concentration of Bortezomib can be increased when it is combined with Arsenic trioxide.
Artemether	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Artemether.
Artenimol	The metabolism of Bortezomib can be decreased when combined with Artenimol.
Articaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Articaine.
Asciminib	The serum concentration of Bortezomib can be increased when it is combined with Asciminib.
Ascorbic acid	The therapeutic efficacy of Bortezomib can be decreased when used in combination with Ascorbic acid.
Asenapine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Asenapine.
Astemizole	The serum concentration of Bortezomib can be increased when it is combined with Astemizole.
AstraZeneca COVID-19 Vaccine	The therapeutic efficacy of AstraZeneca COVID-19 Vaccine can be decreased when used in combination with Bortezomib.
Asunaprevir	The metabolism of Bortezomib can be decreased when combined with Asunaprevir.
Atazanavir	The metabolism of Bortezomib can be decreased when combined with Atazanavir.
Atenolol	The metabolism of Atenolol can be decreased when combined with Bortezomib.
Atomoxetine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Atomoxetine.
Atovaquone	The metabolism of Bortezomib can be decreased when combined with Atovaquone.
Atropine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Atropine.
Avacopan	The serum concentration of Bortezomib can be increased when it is combined with Avacopan.
Avanafil	The serum concentration of Avanafil can be increased when it is combined with Bortezomib.
Avapritinib	The metabolism of Bortezomib can be decreased when combined with Avapritinib.
Avatrombopag	The serum concentration of Bortezomib can be increased when it is combined with Avatrombopag.
Axitinib	The metabolism of Axitinib can be decreased when combined with Bortezomib.
Azacitidine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Azacitidine.
Azatadine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Azatadine.
Azathioprine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Azathioprine.
Azelastine	The metabolism of Azelastine can be decreased when combined with Bortezomib.
Azithromycin	The metabolism of Bortezomib can be decreased when combined with Azithromycin.
Bacillus calmette-guerin substrain connaught live antigen	The risk or severity of infection can be increased when Bacillus calmette-guerin substrain connaught live antigen is combined with Bortezomib.
Bacillus calmette-guerin substrain russian BCG-I live antigen	The therapeutic efficacy of Bacillus calmette-guerin substrain russian BCG-I live antigen can be decreased when used in combination with Bortezomib.
Bacillus calmette-guerin substrain tice live antigen	The risk or severity of infection can be increased when Bacillus calmette-guerin substrain tice live antigen is combined with Bortezomib.
Baricitinib	The risk or severity of adverse effects can be increased when Bortezomib is combined with Baricitinib.
Basiliximab	The risk or severity of adverse effects can be increased when Basiliximab is combined with Bortezomib.
BCG vaccine	The risk or severity of infection can be increased when BCG vaccine is combined with Bortezomib.
Beclomethasone dipropionate	The metabolism of Bortezomib can be increased when combined with Beclomethasone dipropionate.
Bedaquiline	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Bedaquiline.
Belantamab mafodotin	The serum concentration of Bortezomib can be increased when it is combined with Belantamab mafodotin.
Belatacept	The risk or severity of adverse effects can be increased when Bortezomib is combined with Belatacept.
Belimumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Belimumab.
Belinostat	The risk or severity of adverse effects can be increased when Bortezomib is combined with Belinostat.
Belumosudil	The serum concentration of Bortezomib can be increased when it is combined with Belumosudil.
Belzutifan	The serum concentration of Bortezomib can be decreased when it is combined with Belzutifan.
Bemiparin	The risk or severity of bleeding can be increased when Bemiparin is combined with Bortezomib.
Bendamustine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Bendamustine.
Bendroflumethiazide	The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Bortezomib.
Benzatropine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Benzatropine.
Benzocaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Benzocaine.
Benzthiazide	The risk or severity of neutropenia and thrombocytopenia can be increased when Benzthiazide is combined with Bortezomib.
Benzyl alcohol	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Benzyl alcohol.
Bepridil	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Bepridil.
Berotralstat	The serum concentration of Bortezomib can be increased when it is combined with Berotralstat.
Betamethasone	The metabolism of Bortezomib can be increased when combined with Betamethasone.
Betamethasone phosphate	The metabolism of Bortezomib can be increased when combined with Betamethasone phosphate.
Betaxolol	The metabolism of Betaxolol can be decreased when combined with Bortezomib.
Betrixaban	The serum concentration of Bortezomib can be increased when it is combined with Betrixaban.
Bevacizumab	The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Bortezomib.
Bexarotene	The metabolism of Bortezomib can be increased when combined with Bexarotene.
Bicalutamide	The metabolism of Bortezomib can be decreased when combined with Bicalutamide.
Bifonazole	The metabolism of Bortezomib can be decreased when combined with Bifonazole.
Bilastine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Bilastine.
Bimekizumab	The metabolism of Bortezomib can be increased when combined with Bimekizumab.
Binimetinib	The metabolism of Binimetinib can be decreased when combined with Bortezomib.
Biperiden	The metabolism of Bortezomib can be decreased when combined with Biperiden.
Bisoprolol	The serum concentration of Bortezomib can be increased when it is combined with Bisoprolol.
Bivalirudin	The risk or severity of bleeding can be increased when Bivalirudin is combined with Bortezomib.
Bleomycin	The risk or severity of adverse effects can be increased when Bortezomib is combined with Bleomycin.
Blinatumomab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Blinatumomab.
Boceprevir	The metabolism of Bortezomib can be decreased when combined with Boceprevir.
Bordetella pertussis toxoid antigen (formaldehyde, glutaraldehyde inactivated)	The therapeutic efficacy of Bordetella pertussis toxoid antigen (formaldehyde, glutaraldehyde inactivated) can be decreased when used in combination with Bortezomib.
Bosentan	The metabolism of Bortezomib can be increased when combined with Bosentan.
Bosutinib	The serum concentration of Bortezomib can be increased when it is combined with Bosutinib.
Brentuximab vedotin	The serum concentration of Bortezomib can be increased when it is combined with Brentuximab vedotin.
Bretylium	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Bretylium.
Brexpiprazole	The metabolism of Brexpiprazole can be decreased when combined with Bortezomib.
Brivaracetam	The metabolism of Brivaracetam can be decreased when combined with Bortezomib.
Brodalumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Brodalumab.
Bromazepam	The metabolism of Bromazepam can be decreased when combined with Bortezomib.
Bromotheophylline	The metabolism of Bromotheophylline can be decreased when combined with Bortezomib.
Brompheniramine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Brompheniramine.
Buclizine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Buclizine.
Budesonide	The metabolism of Bortezomib can be increased when combined with Budesonide.
Bupivacaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Bupivacaine.
Buprenorphine	The metabolism of Bortezomib can be decreased when combined with Buprenorphine.
Bupropion	The metabolism of Bortezomib can be decreased when combined with Bupropion.
Buserelin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Buserelin.
Buspirone	The metabolism of Buspirone can be decreased when combined with Bortezomib.
Busulfan	The risk or severity of adverse effects can be increased when Bortezomib is combined with Busulfan.
Butacaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Butacaine.
Butalbital	The metabolism of Bortezomib can be increased when combined with Butalbital.
Butamben	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Butamben.
Butriptyline	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Butriptyline.
Cabazitaxel	The risk or severity of adverse effects can be increased when Bortezomib is combined with Cabazitaxel.
Cabergoline	The serum concentration of Cabergoline can be increased when it is combined with Bortezomib.
Cabozantinib	The metabolism of Cabozantinib can be decreased when combined with Bortezomib.
Caffeine	The metabolism of Bortezomib can be decreased when combined with Caffeine.
Calcitriol	The metabolism of Bortezomib can be increased when combined with Calcitriol.
Calcium ascorbate	The therapeutic efficacy of Bortezomib can be decreased when used in combination with Calcium ascorbate.
Canagliflozin	The serum concentration of Bortezomib can be increased when it is combined with Canagliflozin.
Canakinumab	The metabolism of Bortezomib can be increased when combined with Canakinumab.
Candesartan cilexetil	The metabolism of Candesartan cilexetil can be decreased when combined with Bortezomib.
Candicidin	The serum concentration of Bortezomib can be increased when it is combined with Candicidin.
Cangrelor	The risk or severity of bleeding can be increased when Cangrelor is combined with Bortezomib.
Cannabidiol	The serum concentration of Bortezomib can be increased when it is combined with Cannabidiol.
Capecitabine	The serum concentration of Bortezomib can be increased when it is combined with Capecitabine.
Caplacizumab	The risk or severity of bleeding can be increased when Caplacizumab is combined with Bortezomib.
Capmatinib	The serum concentration of Bortezomib can be increased when it is combined with Capmatinib.
Capsaicin	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Capsaicin.
Carbamazepine	The metabolism of Bortezomib can be increased when combined with Carbamazepine.
Carbinoxamine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Carbinoxamine.
Carboplatin	The risk or severity of adverse effects can be increased when Bortezomib is combined with Carboplatin.
Carfilzomib	The serum concentration of Bortezomib can be increased when it is combined with Carfilzomib.
Carisoprodol	The metabolism of Carisoprodol can be decreased when combined with Bortezomib.
Carmustine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Carmustine.
Carvedilol	The serum concentration of Bortezomib can be increased when it is combined with Carvedilol.
Cefradine	The metabolism of Bortezomib can be increased when combined with Cefradine.
Celecoxib	The metabolism of Bortezomib can be decreased when combined with Celecoxib.
Celiprolol	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Celiprolol.
Cenobamate	The serum concentration of Bortezomib can be decreased when it is combined with Cenobamate.
Cephalexin	The metabolism of Bortezomib can be decreased when combined with Cephalexin.
Ceritinib	The metabolism of Bortezomib can be decreased when combined with Ceritinib.
Cerivastatin	The metabolism of Bortezomib can be increased when combined with Cerivastatin.
Certolizumab pegol	The metabolism of Bortezomib can be increased when combined with Certolizumab pegol.
Cetirizine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Cetirizine.
Cevimeline	The metabolism of Bortezomib can be decreased when combined with Cevimeline.
Chlorambucil	The risk or severity of adverse effects can be increased when Bortezomib is combined with Chlorambucil.
Chloramphenicol	The serum concentration of Bortezomib can be increased when it is combined with Chloramphenicol.
Chlorcyclizine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Chlorcyclizine.
Chloroprocaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Chloroprocaine.
Chloroquine	The metabolism of Bortezomib can be decreased when combined with Chloroquine.
Chlorothiazide	The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Bortezomib.
Chlorpheniramine	The metabolism of Bortezomib can be decreased when combined with Chlorpheniramine.
Chlorpromazine	The metabolism of Bortezomib can be decreased when combined with Chlorpromazine.
Chlorpropamide	The metabolism of Chlorpropamide can be decreased when combined with Bortezomib.
Chlorprothixene	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Chlorprothixene.
Chlorzoxazone	The metabolism of Chlorzoxazone can be decreased when combined with Bortezomib.
Cholecalciferol	The metabolism of Bortezomib can be decreased when combined with Cholecalciferol.
Ciclesonide	The risk or severity of adverse effects can be increased when Bortezomib is combined with Ciclesonide.
Cilostazol	The serum concentration of Cilostazol can be increased when it is combined with Bortezomib.
Cimetidine	The metabolism of Bortezomib can be decreased when combined with Cimetidine.
Cinacalcet	The metabolism of Bortezomib can be decreased when combined with Cinacalcet.
Cinchocaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Cinchocaine.
Cinnarizine	The metabolism of Cinnarizine can be decreased when combined with Bortezomib.
Cinoxacin	The metabolism of Bortezomib can be decreased when combined with Cinoxacin.
Ciprofloxacin	The metabolism of Bortezomib can be decreased when combined with Ciprofloxacin.
Cisapride	The metabolism of Bortezomib can be decreased when combined with Cisapride.
Cisplatin	The risk or severity of adverse effects can be increased when Bortezomib is combined with Cisplatin.
Citalopram	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Citalopram.
Cladribine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Cladribine.
Clarithromycin	The metabolism of Bortezomib can be decreased when combined with Clarithromycin.
Clemastine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Clemastine.
Clevidipine	The metabolism of Bortezomib can be increased when combined with Clevidipine.
Clobazam	The serum concentration of Bortezomib can be increased when it is combined with Clobazam.
Clobetasol propionate	The metabolism of Bortezomib can be increased when combined with Clobetasol propionate.
Clofarabine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Clofarabine.
Clofazimine	The serum concentration of Bortezomib can be increased when it is combined with Clofazimine.
Clofibrate	The metabolism of Bortezomib can be increased when combined with Clofibrate.
Clomifene	The serum concentration of Bortezomib can be increased when it is combined with Clomifene.
Clomipramine	The metabolism of Clomipramine can be decreased when combined with Bortezomib.
Clonidine	The metabolism of Clonidine can be decreased when combined with Bortezomib.
Clopidogrel	The metabolism of Clopidogrel can be decreased when combined with Bortezomib.
Clostridium tetani toxoid antigen (formaldehyde inactivated)	The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Bortezomib.
Clozapine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Clozapine.
Cobicistat	The metabolism of Bortezomib can be decreased when combined with Cobicistat.
Cobimetinib	The metabolism of Bortezomib can be decreased when combined with Cobimetinib.
Cocaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Cocaine.
Codeine	The metabolism of Codeine can be decreased when combined with Bortezomib.
Colchicine	The serum concentration of Bortezomib can be increased when it is combined with Colchicine.
Conivaptan	The metabolism of Bortezomib can be decreased when combined with Conivaptan.
Conjugated estrogens	The metabolism of Conjugated estrogens can be decreased when combined with Bortezomib.
Copanlisib	The serum concentration of Copanlisib can be increased when it is combined with Bortezomib.
Corticotropin	The metabolism of Bortezomib can be increased when combined with Corticotropin.
Cortisone acetate	The metabolism of Bortezomib can be increased when combined with Cortisone acetate.
Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated)	The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Bortezomib.
Crizotinib	The metabolism of Bortezomib can be decreased when combined with Crizotinib.
Curcumin	The metabolism of Bortezomib can be decreased when combined with Curcumin.
Cyanocobalamin	The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Bortezomib.
Cyclizine	The metabolism of Bortezomib can be decreased when combined with Cyclizine.
Cyclobenzaprine	The metabolism of Cyclobenzaprine can be decreased when combined with Bortezomib.
Cyclopenthiazide	The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Bortezomib.
Cyclophosphamide	The metabolism of Bortezomib can be increased when combined with Cyclophosphamide.
Cyclosporine	Bortezomib may increase the immunosuppressive activities of Cyclosporine.
Cyclothiazide	The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Bortezomib.
Cyproheptadine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Cyproheptadine.
Cyproterone acetate	The metabolism of Bortezomib can be increased when combined with Cyproterone acetate.
Cytarabine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Cytarabine.
Dabigatran	The risk or severity of bleeding can be increased when Dabigatran is combined with Bortezomib.
Dabigatran etexilate	The serum concentration of Bortezomib can be increased when it is combined with Dabigatran etexilate.
Dabrafenib	The serum concentration of Bortezomib can be decreased when it is combined with Dabrafenib.
Dacarbazine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Dacarbazine.
Daclatasvir	The serum concentration of Bortezomib can be increased when it is combined with Daclatasvir.
Dacomitinib	The serum concentration of Bortezomib can be increased when it is combined with Dacomitinib.
Dactinomycin	The risk or severity of adverse effects can be increased when Bortezomib is combined with Dactinomycin.
Dalfopristin	The metabolism of Bortezomib can be decreased when combined with Dalfopristin.
Dalteparin	The risk or severity of bleeding can be increased when Dalteparin is combined with Bortezomib.
Danaparoid	The risk or severity of bleeding can be increased when Danaparoid is combined with Bortezomib.
Danazol	The metabolism of Bortezomib can be decreased when combined with Danazol.
Dapagliflozin	The metabolism of Bortezomib can be decreased when combined with Dapagliflozin.
Dapsone	The metabolism of Dapsone can be decreased when combined with Bortezomib.
Daptomycin	The serum concentration of Bortezomib can be increased when it is combined with Daptomycin.
Darbepoetin alfa	The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Bortezomib.
Darifenacin	The metabolism of Bortezomib can be decreased when combined with Darifenacin.
Darolutamide	The serum concentration of Bortezomib can be increased when it is combined with Darolutamide.
Darunavir	The serum concentration of Bortezomib can be increased when it is combined with Darunavir.
Dasabuvir	The serum concentration of Bortezomib can be increased when it is combined with Dasabuvir.
Dasatinib	The metabolism of Bortezomib can be decreased when combined with Dasatinib.
Daunorubicin	The serum concentration of Bortezomib can be increased when it is combined with Daunorubicin.
Debrisoquine	The metabolism of Debrisoquine can be decreased when combined with Bortezomib.
Decitabine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Decitabine.
Deferasirox	The serum concentration of Bortezomib can be increased when it is combined with Deferasirox.
Defibrotide	The risk or severity of bleeding can be increased when Defibrotide is combined with Bortezomib.
Deflazacort	The metabolism of Bortezomib can be increased when combined with Deflazacort.
Degarelix	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Degarelix.
Delafloxacin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Delafloxacin.
Delamanid	Bortezomib may increase the QTc-prolonging activities of Delamanid.
Delavirdine	The metabolism of Bortezomib can be decreased when combined with Delavirdine.
Denosumab	The risk or severity of adverse effects can be increased when Denosumab is combined with Bortezomib.
Desflurane	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Desflurane.
Desipramine	The metabolism of Bortezomib can be decreased when combined with Desipramine.
Desirudin	The risk or severity of bleeding can be increased when Desirudin is combined with Bortezomib.
Deslanoside	Deslanoside may decrease the cardiotoxic activities of Bortezomib.
Desloratadine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Desloratadine.
Desogestrel	The metabolism of Desogestrel can be decreased when combined with Bortezomib.
Desoximetasone	The risk or severity of adverse effects can be increased when Bortezomib is combined with Desoximetasone.
Desvenlafaxine	The metabolism of Bortezomib can be decreased when combined with Desvenlafaxine.
Deucravacitinib	The risk or severity of adverse effects can be increased when Bortezomib is combined with Deucravacitinib.
Deutetrabenazine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Deutetrabenazine.
Dexamethasone	The serum concentration of Bortezomib can be decreased when it is combined with Dexamethasone.
Dexamethasone acetate	The serum concentration of Bortezomib can be decreased when it is combined with Dexamethasone acetate.
Dexbrompheniramine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Dexbrompheniramine.
Dexchlorpheniramine maleate	The metabolism of Bortezomib can be decreased when combined with Dexchlorpheniramine maleate.
Dexfenfluramine	The metabolism of Dexfenfluramine can be decreased when combined with Bortezomib.
Dexibuprofen	The metabolism of Dexibuprofen can be decreased when combined with Bortezomib.
Dexlansoprazole	The metabolism of Dexlansoprazole can be decreased when combined with Bortezomib.
Dexmedetomidine	The metabolism of Bortezomib can be decreased when combined with Dexmedetomidine.
Dexrazoxane	The risk or severity of adverse effects can be increased when Bortezomib is combined with Dexrazoxane.
Dextran	The risk or severity of bleeding can be increased when Dextran is combined with Bortezomib.
Dextroamphetamine	The metabolism of Dextroamphetamine can be decreased when combined with Bortezomib.
Dextromethorphan	The metabolism of Dextromethorphan can be decreased when combined with Bortezomib.
Dextropropoxyphene	The serum concentration of Bortezomib can be increased when it is combined with Dextropropoxyphene.
Diacerein	The metabolism of Bortezomib can be decreased when combined with Diacerein.
Diazepam	The metabolism of Diazepam can be decreased when combined with Bortezomib.
Diclofenac	The metabolism of Diclofenac can be decreased when combined with Bortezomib.
Dicloxacillin	The metabolism of Bortezomib can be increased when combined with Dicloxacillin.
Dicoumarol	The risk or severity of bleeding can be increased when Dicoumarol is combined with Bortezomib.
Diethylstilbestrol	The serum concentration of Bortezomib can be increased when it is combined with Diethylstilbestrol.
Difluocortolone	The metabolism of Bortezomib can be increased when combined with Difluocortolone.
Digitoxin	The serum concentration of Digitoxin can be increased when it is combined with Bortezomib.
Digoxin	The serum concentration of Digoxin can be increased when it is combined with Bortezomib.
Dihydralazine	The metabolism of Bortezomib can be decreased when combined with Dihydralazine.
Dihydrocodeine	The metabolism of Dihydrocodeine can be decreased when combined with Bortezomib.
Dihydroergocornine	The metabolism of Bortezomib can be decreased when combined with Dihydroergocornine.
Dihydroergocristine	The metabolism of Bortezomib can be decreased when combined with Dihydroergocristine.
Dihydroergotamine	The serum concentration of Bortezomib can be increased when it is combined with Dihydroergotamine.
Diltiazem	The metabolism of Bortezomib can be decreased when combined with Diltiazem.
Dimenhydrinate	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Dimenhydrinate.
Dimethyl fumarate	The risk or severity of adverse effects can be increased when Bortezomib is combined with Dimethyl fumarate.
Dimethyl sulfoxide	The serum concentration of Bortezomib can be increased when it is combined with Dimethyl sulfoxide.
Dinutuximab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Dinutuximab.
Diosmin	The serum concentration of Bortezomib can be increased when it is combined with Diosmin.
