doxorubicin	"Antineoplastic antibiotic obtained from Streptomyces peucetius. It is a hydroxy derivative of DAUNORUBICIN."
carbetocin	"carbetocin selectively binds to oxytocin receptors in the smooth muscle of the uterus, stimulates rhythmic contractions of the uterus, increases the frequency of existing contractions, and raises the tone of the uterus musculature"
"lutetium (177Lu) oxodotreotide"	"Lutetium Lu 177 dotatate binds to somatostatin receptors with highest affinity for subtype 2 receptors (SSTR2). Upon binding to somatostatin receptor expressing cells, including malignant somatostatin receptor-positive tumors, the compound is internalized. The beta emission from Lu 177 induces cellular damage by formation of free radicals in somatostatin receptor-positive cells and in neighboring cells."
ropinirole	"Ropinirole is a non-ergoline dopamine agonist. The precise mechanism of action of ropinirole as a treatment for Parkinson’s disease is unknown, although it is thought to be related to its ability to stimulate dopamine D2 receptors within the caudate-putamen in the brain."
efonidipine	A racemate comprising of equimolar amounts of (R)- and (S)-efonidipine. It is a antihypertensive drug and a dual T-type and L-type calcium channel blocker.
"denileukin diftitox"	"more potent, truncated form of DAB(486)-IL-2; inhibit HIV-1 RNA production in infected cells"
ibuprofen	"A nonsteroidal anti-inflammatory agent with analgesic properties used in the treatment of RHEUMATISM and ARTHRITIS."
"norethindrone acetate"	"Acetate ester of norethindrone that is used as a long-term contraceptive (CONTRACEPTIVE AGENTS)."
amantadine	"An antiviral that is used in the prophylactic or symptomatic treatment of influenza A. It is also used as an antiparkinsonian agent, to treat extrapyramidal reactions, and for postherpetic neuralgia. The mechanisms of its effects in movement disorders are not well understood but probably reflect an increase in synthesis and release of dopamine, with perhaps some inhibition of dopamine uptake."
tesamorelin	"Growth Hormone-Releasing Factor (GRF), also known as growth hormone-releasing hormone (GHRH), is a hypothalamic peptide that acts on the pituitary somatotroph cells to stimulate the synthesis and pulsatile release of endogenous growth hormone (GH), which is both anabolic and lipolytic. GH exerts its effects by interacting with specific receptors on a variety of target cells, including chondrocytes, osteoblasts, myocytes, hepatocytes, and adipocytes, resulting in a host of pharmacodynamic effects. Some, but not all these effects, are primarily mediated by IGF-1 produced in the liver and in peripheral tissues. In vitro, tesamorelin binds and stimulates human GRF receptors with similar potency as the endogenous GRF."
zafirlukast	"a leukotriene D4 receptor antagonist"
daunorubicin	"A very toxic anthracycline aminoglycoside antineoplastic isolated from Streptomyces peucetius and others, used in treatment of LEUKEMIA and other NEOPLASMS."
afatinib	"A quinazoline and butenamide derivative that acts as a tyrosine kinase inhibitor of epidermal growth factor receptors (ERBB RECEPTORS) and is used in the treatment of metastatic NON-SMALL CELL LUNG CANCER."
brigatinib	"Brigatinib is a tyrosine kinase inhibitor with in vitro activity at clinically achievable concentrations against multiple kinases including ALK, ROS1, insulin-like growth factor-1 receptor (IGF-1R), and FLT-3 as well as EGFR deletion and point mutations. Brigatinib inhibited autophosphorylation of ALK and ALK-mediated phosphorylation of the downstream signaling proteins STAT3, AKT, ERK1/2, and S6 in in vitro and in vivo assays. Brigatinib also inhibited the in vitro proliferation of cell lines expressing EML4-ALK and NPM-ALK fusion proteins and demonstrated dose-dependent inhibition of EML4-ALK-positive NSCLC xenograft growth in mice. At clinically achievable concentrations (<= 500 nM), brigatinib inhibited the in vitro viability of cells expressing EML4-ALK and 17 mutant forms associated with resistance to ALK inhibitors including crizotinib, as well as EGFR-Del (E746-A750), ROS1-L2026M, FLT3-F691L, and FLT3-D835Y. Brigatinib exhibited in vivo anti-tumor activity against 4 mutant forms of EML4-ALK, including G1202R and L1196M mutants identified in NSCLC tumors in patients who have progressed on crizotinib. Brigatinib also reduced tumor burden and prolonged survival in mice implanted intracranially with an ALK-driven tumor cell line."
eptifibatide	"Cyclic peptide that acts as a platelet glycoprotein IIB-IIIA antagonist, reversibly inhibiting the binding of FIBRINOGEN; VON WILLEBRAND FACTOR; and other adhesive molecules to the GPIIB-IIIA RECEPTORS of platelets. It is used in the management of UNSTABLE ANGINA and in patients undergoing coronary ANGIOPLASTY and stenting procedures."
epalrestat	A monocarboxylic acid that is 1,3-thiazolidine which is substituted on the nitrogen by a carboxymethyl group, at positions 2 and 4 by thioxo and oxo groups, respectively, and at position 5 by a 2-methyl-3-phenylprop-2-en-1-ylidene group. It is an inhibitor of aldose reductase (which catalyses the conversion of glucose to sorbitol) and is used for the treatment of some diabetic complications, including neuropathy.
etomidate	"Imidazole derivative anesthetic and hypnotic with little effect on blood gases, ventilation, or the cardiovascular system. It has been proposed as an induction anesthetic."
mecillinam	"An amidinopenicillanic acid derivative with broad spectrum antibacterial action."
arformoterol	"the (R,R)-enantiomer of formoterol, is a selective long-acting beta2-adrenergic receptor agonist (beta2-agonist) that has two-fold greater potency than racemic formoterol"
ubrogepant	"Ubrogepant is a calcitonin gene-related peptide receptor antagonist."
anagrelide	"imidazoquinazoline derivative which lowers platelet count probably by inhibiting thrombopoiesis and reduces platelet aggregation; used for thrombocythemia"
ethosuximide	"An anticonvulsant especially useful in the treatment of absence seizures unaccompanied by other types of seizures."
rilonacept	"an anti-arthritis agent derived from IL-1R and IL-1RAcP"
"latanoprostene bunod"	"Latanoprostene bunod is thought to lower intraocular pressure by increasing outflow of aqueous humor through both the trabecular meshwork and uveoscleral routes. Intraocular pressure is a major modifiable risk factor for glaucoma progression. Reduction of intraocular pressure reduces risk of glaucomatous visual field loss."
"triamcinolone hexacetonide"	"synthetic glucocorticoid analog used for  anti-inflammatory effects in disorders of many organ systems"
cetilistat	"lipase inhibitor in randomized, placebo-controlled study of weight reduction in obese patients (3/2007)"
alectinib	"Alectinib is a tyrosine kinase inhibitor that targets ALK and RET. In nonclinical studies, alectinib inhibited ALK phosphorylation and ALK-mediated activation of the downstream signaling proteins STAT3 and AKT, and decreased tumor cell viability in multiple cell lines harboring ALK fusions, amplifications, or activating mutations. The major active metabolite of alectinib, M4, showed similar in vitro potency and activity."
"megestrol acetate"	"Megestrol acetate is a progestogen with actions and uses similar to those of the progestogens in general. It also has anti-androgenic properties. It is given by mouth in the palliative treatment or as an adjunct to other therapy in endometrial carcinoma and in breast cancer. Megestrol acetate has been approved to treat anorexia and cachexia. (From Reynolds JEF(Ed): Martindale: The Extra Pharmacopoeia (electronic version). Micromedex, Inc, Englewood, CO, 1995)"
oxcarbazepine	"an antiepileptic drug, precise mechanism by which oxcarbazepine exerts its antiseizure effect is unknown, however, in vitro electrophysiological studies indicate that it produces blockade of voltage-sensitive sodium channels, resulting in stabilization of hyperexcited neural membranes, inhibition of repetitive neuronal firing, and diminution of propagation of synaptic impulses"
levamisole	"An antihelminthic drug that has been tried experimentally in rheumatic disorders where it apparently restores the immune response by increasing macrophage chemotaxis and T-lymphocyte function. Paradoxically, this immune enhancement appears to be beneficial in rheumatoid arthritis where dermatitis, leukopenia, and thrombocytopenia, and nausea and vomiting have been reported as side effects. (From Smith and Reynard, Textbook of Pharmacology, 1991, p435-6)"
phenylephrine	"An alpha-1 adrenergic agonist used as a mydriatic, nasal decongestant, and cardiotonic agent."
phenazopyridine	"A local anesthetic that has been used in urinary tract disorders. Its use is limited by problems with toxicity (primarily blood disorders) and potential carcinogenicity."
ticlopidine	"An effective inhibitor of platelet aggregation commonly used in the placement of STENTS in CORONARY ARTERIES."
desvenlafaxine	"The exact mechanism of the antidepressant action of desvenlafaxine is unknown, but is thought to be related to the potentiation of serotonin and norepinephrine in the central nervous system, through inhibition of their reuptake. Non-clinical studies have shown that desvenlafaxine is a potent and selective serotonin and norepinephrine reuptake inhibitor (SNRI)."
amprenavir	"; RN refers to (3S-(3R*(1S*,2R*)))-isomer; fosamprenavir is a prodrug"
lamotrigine	"A phenyltriazine compound, sodium and calcium channel blocker that is used for the treatment of SEIZURES and BIPOLAR DISORDER."
urokinase	"A proteolytic enzyme that converts PLASMINOGEN to FIBRINOLYSIN where the preferential cleavage is between ARGININE and VALINE. It was isolated originally from human URINE, but is found in most tissues of most VERTEBRATES."
metformin	"A biguanide hypoglycemic agent used in the treatment of non-insulin-dependent diabetes mellitus not responding to dietary modification. Metformin improves glycemic control by improving insulin sensitivity and decreasing intestinal absorption of glucose. (From Martindale, The Extra Pharmacopoeia, 30th ed, p289)"
tubocurarine	"A neuromuscular blocker and active ingredient in CURARE; plant based alkaloid of Menispermaceae."
canakinumab	"a human anti-interleukin-1beta monoclonal antibody for treatment of cryopyrin-associated periodic syndrome"
oprelvekin	"Oprelvekin is a recombinant human Interleukin-11. Interleukin eleven (IL-11) is a thrombopoietic growth factor that directly stimulates the proliferation of hematopoietic stem cells and megakaryocyte progenitor cells and induces megakaryocyte maturation resulting in increased platelet production."
labetalol	"A salicylamide derivative that is a non-cardioselective blocker of BETA-ADRENERGIC RECEPTORS and ALPHA-1 ADRENERGIC RECEPTORS."
desirudin	"recombinant hirudin; has identical amino acid sequence as the natural hirudin variant 1 but lacks the sulphate group on Tyr(63)"
troglitazone	"A chroman and thiazolidinedione derivative that acts as a PEROXISOME PROLIFERATOR-ACTIVATED RECEPTORS (PPAR) agonist. It was formerly used in the treatment of TYPE 2 DIABETES MELLITUS, but has been withdrawn due to hepatotoxicity."
cetirizine	"A potent second-generation histamine H1 antagonist that is effective in the treatment of allergic rhinitis, chronic urticaria, and pollen-induced asthma. Unlike many traditional antihistamines, it does not cause drowsiness or anticholinergic side effects."
nefazodone	"an antidepressant for oral administration with a chemical structure unrelated to selective serotonin reuptake inhibitors, tricyclics, tetracyclics, or monoamine oxidase inhibitors (MAOI), inhibits neuronal uptake of serotonin and norepinephrine"
sulfasalazine	"A drug that is used in the management of inflammatory bowel diseases. Its activity is generally considered to lie in its metabolic breakdown product, 5-aminosalicylic acid (see MESALAMINE) released in the colon. (From Martindale, The Extra Pharmacopoeia, 30th ed, p907)"
mebendazole	"A benzimidazole that acts by interfering with CARBOHYDRATE METABOLISM and inhibiting polymerization of MICROTUBULES."
citalopram	"A furancarbonitrile that is one of the serotonin uptake inhibitors used as an antidepressant. The drug is also effective in reducing ethanol uptake in alcoholics and is used in depressed patients who also suffer from TARDIVE DYSKINESIA in preference to tricyclic antidepressants, which aggravate dyskinesia."
methadone	"A synthetic opioid that is used as the hydrochloride. It is an opioid analgesic that is primarily a mu-opioid agonist. It has actions and uses similar to those of MORPHINE. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1082-3)"
sunitinib	"An indole and pyrrole derivative that inhibits VEGFR-2 and PDGFR BETA RECEPTOR TYROSINE KINASES. It is used as an antineoplastic agent for the treatment of GASTROINTESTINAL STROMAL TUMORS, and for treatment of advanced or metastatic RENAL CELL CARCINOMA."
ursodiol	"An epimer of chenodeoxycholic acid. It is a mammalian bile acid found first in the bear and is apparently either a precursor or a product of chenodeoxycholate. Its administration changes the composition of bile and may dissolve gallstones. It is used as a cholagogue and choleretic."
anidulafungin	"Echinocandin antifungal agent that is used in the treatment of CANDIDEMIA and CANDIDIASIS."
cyclopentolate	"A parasympatholytic anticholinergic used solely to obtain mydriasis or cycloplegia."
nimodipine	"A calcium channel blockader with preferential cerebrovascular activity. It has marked cerebrovascular dilating effects and lowers blood pressure."
baricitinib	"Baricitinib is a selective and reversible inhibitor of Janus kinase (JAK)1 and JAK2. Janus kinases (JAKs) are enzymes that transduce intracellular signals from cell surface receptors for a number of cytokines and growth factors involved in haematopoiesis, inflammation and immune function. Within the intracellular signalling pathway, JAKs phosphorylate and activate signal transducers and activators of transcription (STATs), which activate gene expression within the cell. Baricitinib modulates these signalling pathways by partially inhibiting JAK1 and JAK2 enzymatic activity, thereby reducing the phosphorylation and activation of STATs."
sulfanilamide	"Sulfanilamide has been a useful ingredient of vaginal formulations for about four decades. It blocks certain metabolic processes essential for the growth of susceptible bacteria."
acamprosate	"The mechanism of action of acamprosate in maintenance of alcohol abstinence is not completely understood. Chronic alcohol exposure is hypothesized to alter the normal balance between neuronal excitation and inhibition. In vitro and in vivo studies in animals have provided evidence to suggest acamprosate may interact with glutamate and GABA neurotransmitter systems centrally, and has led to the hypothesis that acamprosate restores this balance."
tolterodine	"An ANTIMUSCARINIC AGENT selective for the MUSCARINIC RECEPTORS of the BLADDER that is used in the treatment of URINARY INCONTINENCE and URINARY URGE INCONTINENCE."
sitagliptin	"A pyrazine-derived DIPEPTIDYL-PEPTIDASE IV INHIBITOR and HYPOGLYCEMIC AGENT that increases the levels of the INCRETIN hormones GLUCAGON-LIKE PEPTIDE-1 (GLP-1) and glucose-dependent insulinotropic polypeptide (GIP). It is used in the treatment of TYPE 2 DIABETES."
diazoxide	"A benzothiadiazine derivative that is a peripheral vasodilator used for hypertensive emergencies. It lacks diuretic effect, apparently because it lacks a sulfonamide group."
diquafosol	"purinoceptor P2Y(2) receptor agonist"
prilocaine	"A local anesthetic that is similar pharmacologically to LIDOCAINE. Currently, it is used most often for infiltration anesthesia in dentistry."
finasteride	"An orally active 3-OXO-5-ALPHA-STEROID 4-DEHYDROGENASE inhibitor. It is used as a surgical alternative for treatment of benign PROSTATIC HYPERPLASIA."
metipranolol	"A beta-adrenergic antagonist effective for both beta-1 and beta-2 receptors. It is used as an antiarrhythmic, antihypertensive, and antiglaucoma agent."
bromperidol	"bromine-substituted for chlorine in haloperidol; RN given refers to unlabeled parent cpd; structure"
naltrexone	"Derivative of noroxymorphone that is the N-cyclopropylmethyl congener of NALOXONE. It is a narcotic antagonist that is effective orally, longer lasting and more potent than naloxone, and has been proposed for the treatment of heroin addiction. The FDA has approved naltrexone for the treatment of alcohol dependence."
bumetanide	"A sulfamyl diuretic."
tocainide	"An antiarrhythmic agent which exerts a potential- and frequency-dependent block of SODIUM CHANNELS."
hydralazine	"A direct-acting vasodilator that is used as an antihypertensive agent."
trifluoperazine	"A phenothiazine with actions similar to CHLORPROMAZINE. It is used as an antipsychotic and an antiemetic."
reteplase	"mutant form of tissue plasminogen activator used in treatment of myocardial infarct"
hexachlorophene	"A chlorinated bisphenol antiseptic with a bacteriostatic action against Gram-positive organisms, but much less effective against Gram-negative organisms. It is mainly used in soaps and creams and is an ingredient of various preparations used for skin disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p797)"
trametinib	"a reversible inhibitor of mitogen-activated extracellular signal-regulated kinase 1 (MEK1) and MEK2 activation and of MEK1 and MEK2 kinase activity. MEK proteins are upstream regulators of the extracellular signal-related kinase (ERK) pathway, which promotes cellular proliferation"
caffeine	"A methylxanthine naturally occurring in some beverages and also used as a pharmacological agent. Caffeine's most notable pharmacological effect is as a central nervous system stimulant, increasing alertness and producing agitation. It also relaxes SMOOTH MUSCLE, stimulates CARDIAC MUSCLE, stimulates DIURESIS, and appears to be useful in the treatment of some types of headache. Several cellular actions of caffeine have been observed, but it is not entirely clear how each contributes to its pharmacological profile. Among the most important are inhibition of cyclic nucleotide PHOSPHODIESTERASES, antagonism of ADENOSINE RECEPTORS, and modulation of intracellular calcium handling."
oteracil	"Antagonist of urate oxidase."
flumazenil	"A potent benzodiazepine receptor antagonist. Since it reverses the sedative and other actions of benzodiazepines, it has been suggested as an antidote to benzodiazepine overdoses."
methdilazine	A phenothiazine substituted on nitrogen by a (1-methylpyrrolidin-3-yl)methyl group; a first-generation antihistamine with anticholinergic properties.
"ropeginterferon alfa-2b"	"Ropeginterferon alfa-2b is a recombinant interferon alfa-2b conjugated with a two-arm methoxypolyethylene glycol (mPEG). It belongs to the class of type I interferons which exhibit their cellular effects by binding to a transmembrane receptor termed interferon alfa receptor (IFNAR). Binding to IFNAR initiates a downstream signalling cascade through the activation of kinases, in particular Janus kinase 1 (JAK1) and tyrosine kinase 2 (TYK2) and activator of transcription (STAT) proteins. Nuclear translocation of STAT proteins controls distinct gene-expression programs and exhibit various cellular effects. Interferon alfa was shown to have an inhibitory effect on the proliferation of hematopoietic and bone marrow fibroblast progenitor cells and antagonised the action of growth factors and other cytokines that have a role in the development of myelofibrosis. These actions may be involved in the therapeutic effects of interferon alfa in polycythaemia vera.Further, it was demonstrated that interferon alfa is able to decrease the mutated JAK2V617F allele burden in patients with polycythaemia vera (a V617F point mutation in the JAK2 kinase is a hallmark of polycythaemia vera and is  present in approximately 95% of patients)"
mosapride	"Mosapride is a 5-HT4 receptor agonist which increases the release of acetylcholine and stimulates GI motility."
maprotiline	"A bridged-ring tetracyclic antidepressant that is both mechanistically and functionally similar to the tricyclic antidepressants, including side effects associated with its use."
ceftibuten	"A cephalosporin antibacterial agent that is used in the treatment of infections, including urinary-tract and respiratory-tract infections."
"methylprednisolone acetate"	"Methylprednisolone derivative that is used as an anti-inflammatory agent for the treatment of ALLERGY and ALLERGIC RHINITIS; ASTHMA; and BURSITIS; and for the treatment of ADRENAL INSUFFICIENCY."
"roxatidine acetate"	"a histamine H2 receptor antagonist drug used to treat gastric ulcers"
ebastine	"non-sedating second generation antihistamine which is used for allergic disorders"
norethynodrel	"A synthetic progestational hormone with actions and uses similar to those of PROGESTERONE. It has been used in the treatment of functional uterine bleeding and ENDOMETRIOSIS. As a contraceptive (CONTRACEPTIVE AGENTS), it has usually been administered in combination with MESTRANOL."
indacaterol	"Indacaterol is a long-acting beta2-adrenergic agonist. The pharmacological effects of beta2-adrenoceptor agonist drugs, including indacaterol, are at least in part attributable to stimulation of intracellular adenyl cyclase, the enzyme that catalyzes the conversion of adenosine triphosphate (ATP) to cyclic-3’, 5’-adenosine monophosphate (cyclic monophosphate). Increased cyclic AMP levels cause relaxation of bronchial smooth muscle."
indisetron	"an anti-emetic agent, indisetron hydrochloride was developed in Japan"
lusutrombopag	"a thrombopoietin receptor agonist"
levetiracetam	"The precise mechanism(s) by which levetiracetam exerts its antiepileptic effect is unknown. The antiepileptic activity of levetiracetam was assessed in a number of animal models of epileptic seizures. Levetiracetam did not inhibit single seizures induced by maximal stimulation with electrical current or different chemoconvulsants and showed only minimal activity in submaximal stimulation and in threshold tests. Protection was observed, however, against secondarily generalized activity from focal seizures induced by pilocarpine and kainic acid, two chemoconvulsants that induce seizures that mimic some features of human complex partial seizures with secondary generalization. Levetiracetam also displayed inhibitory properties in the kindling model in rats, another model of human complex partial seizures, both during kindling development and in the fully kindled state. In vitro and in vivo recordings of epileptiform activity from the hippocampus have shown that levetiracetam inhibits burst firing without affecting normal neuronal excitability, suggesting that levetiracetam may selectively prevent hypersynchronization of epileptiform burst firing and propagation of seizure activity. Levetiracetam at concentrations of up to 10 uM did not demonstrate binding affinity for a variety of known receptors, such as those associated with benzodiazepines, GABA (gamma-aminobutyric acid), glycine, NMDA (N-methyl-D-aspartate), re-uptake sites, and second messenger systems. Furthermore, in vitro studies have failed to find an effect of levetiracetam on neuronal voltage-gated sodium or T-type calcium currents and levetiracetam does not appear to directly facilitate GABAergic neurotransmission. However, in vitro studies have demonstrated that levetiracetam opposes the activity of negative modulators of GABA- and glycine-gated currents and partially inhibits N-type calcium currents in neuronal cells. A saturable and stereoselective neuronal binding site in rat brain tissue has been described for levetiracetam. Experimental data indicate that this binding site is the synaptic vesicle protein SV2A, thought to be involved in the regulation of vesicle exocytosis. Although the molecular significance of levetiracetam binding to synaptic vesicle protein SV2A is not understood, levetiracetam and related analogs showed a rank order of affinity for SV2A which correlated with the potency of their antiseizure activity in audiogenic seizure-prone mice. These findings suggest that the interaction of levetiracetam with the SV2A protein may contribute to the antiepileptic mechanism of action of the drug."
metirosine	"An inhibitor of the enzyme TYROSINE 3-MONOOXYGENASE, and consequently of the synthesis of catecholamines. It is used to control the symptoms of excessive sympathetic stimulation in patients with PHEOCHROMOCYTOMA. (Martindale, The Extra Pharmacopoeia, 30th ed)"
mupirocin	"A topically used antibiotic from a strain of Pseudomonas fluorescens. It has shown excellent activity against gram-positive staphylococci and streptococci. The antibiotic is used primarily for the treatment of primary and secondary skin disorders, nasal infections, and wound healing."
loracarbef	"1-carbacephem antibiotic; has a broad spectrum of antimicrobial activity; structure given in first source; carbacephems differ from cephalosporins in the substitution of a sulfur atom in the dihydrothiazine ring with a methylene group to form a tetrahydropyridine ring"
secukinumab	"Secukinumab is a human IgG1 monoclonal antibody that selectively binds to the interleukin-17A (IL-17A) cytokine and inhibits its interaction with the IL-17 receptor. IL-17A is a naturally occurring cytokine that is involved in normal inflammatory and immune responses. Secukinumab inhibits the release of proinflammatory cytokines and chemokines."
pentolonium	"A nicotinic antagonist that has been used as a ganglionic blocking agent in hypertension."
panitumumab	"Recombinant human monoclonal antibody that binds to and inhibits the function of the EPIDERMAL GROWTH FACTOR RECEPTOR. It is used in the treatment of EGFR-expressing metastatic colorectal cancer that expresses wild-type ras gene (see GENES, RAS)."
tocilizumab	"a humanised anti-interleukin-6 receptor monoclonal antibody"
halothane	"A nonflammable, halogenated, hydrocarbon anesthetic that provides relatively rapid induction with little or no excitement. Analgesia may not be adequate. NITROUS OXIDE is often given concomitantly. Because halothane may not produce sufficient muscle relaxation, supplemental neuromuscular blocking agents may be required. (From AMA Drug Evaluations Annual, 1994, p178)"
vilanterol	"Vilanterol is a long-acting beta2-adrenergic agonist. The clinical relevance of this in vitro finding is unknown. Although beta2-receptors are the predominant adrenergic receptors in bronchial smooth muscle and beta1-receptors are the predominant receptors in the heart, there are also beta2-receptors in the human heart comprising 10% to 50% of the total beta-adrenergic receptors. The precise function of these receptors has not been established, but they raise the possibility that even highly selective beta2-agonists may have cardiac effects. The pharmacologic effects of beta2-adrenergic agonist drugs, including vilanterol, are at least in part attributable to stimulation of intracellular adenyl cyclase, the enzyme that catalyzes the conversion of adenosine triphosphate (ATP) to cyclic-3',5'-adenosine monophosphate (cyclic AMP). Increased cyclic AMP levels cause relaxation of bronchial smooth muscle and inhibition of release of mediators of immediate hypersensitivity from cells, especially from mast cells."
"nandrolone decanoate"	"Decanoic acid ester of nandrolone that is used as an anabolic agent to prevent or treat WASTING SYNDROME associated with severe chronic illness or HIV infection (HIV WASTING SYNDROME). It may also be used in the treatment of POSTMENOPAUSAL OSTEOPOROSIS."
besifloxacin	"Besifloxacin is an 8-chloro fluoroquinolone with a N-1 cyclopropyl group. The compound has activity against Gram-positive and Gram-negative bacteria due to the inhibition of both bacterial DNA gyrase and topoisomerase IV. DNA gyrase is an essential enzyme required for replication, transcription and repair of bacterial DNA. Topoisomerase IV is an essential enzyme required for partitioning of the chromosomal DNA during bacterial cell division."
triflupromazine	"A phenothiazine used as an antipsychotic agent and as an antiemetic."
sertraline	"A selective serotonin uptake inhibitor that is used in the treatment of depression."
zaleplon	"an azabicyclo(4.3.0)nonane; a nonbenzodiazepine; one of the so-called of Z drugs (zopiclone, eszopiclone, zolpidem, and zaleplon) for which there is some correlation with tumors; a hypnotic with less marked effect on psychomotor functions compared to lorazepam"
oxytocin	"A nonapeptide hormone released from the neurohypophysis (PITUITARY GLAND, POSTERIOR). It differs from VASOPRESSIN by two amino acids at residues 3 and 8. Oxytocin acts on SMOOTH MUSCLE CELLS, such as causing UTERINE CONTRACTIONS and MILK EJECTION."
pemigatinib	"Pemigatinib inhibited FGFR1-3 phosphorylation and signaling and decreased cell viability in cancer cell lines with activating FGFR amplifications and fusions that resulted in constitutive activation of FGFR signaling"
dicoumarol	"An oral anticoagulant that interferes with the metabolism of vitamin K. It is also used in biochemical experiments as an inhibitor of reductases."
lemborexant	"The mechanism of action of lemborexant in the treatment of insomnia is presumed to be through antagonism of orexin receptors. The orexin neuropeptide signaling system plays a role in wakefulness. Blocking the binding of wake-promoting neuropeptides orexin A and orexin B to receptors OX1R and OX2R is thought to suppress wake drive."
amifampridine	"4-Aminopyridine derivative that acts as a POTASSIUM CHANNEL blocker to increase release of ACETYLCHOLINE from nerve terminals. It is used in the treatment of CONGENITAL MYASTHENIC SYNDROMES."
raxibacumab	"is a human IgG1lambda monoclonal antibody directed against protective antigen, a component of the anthrax toxin."
phensuximide	"major descriptor (73-84); on-line search SUCCINIMIDES (73-84); Index Medicus search PHENSUXIMIDE (73-84); RN given refers to cpd without isomeric designation"
aminoglutethimide	"An aromatase inhibitor that is used in the treatment of advanced BREAST CANCER."
crofelemer	"an antisecretory antidiarrheal"
binimetinib	"Binimetinib is a reversible inhibitor of mitogen-activated extracellular signal regulated kinase 1 (MEK1) and MEK2 activity. MEK proteins are upstream regulators of the extracellular signal-related kinase (ERK) pathway. In vitro, binimetinib inhibited extracellular signal-related kinase (ERK) phosphorylation in cellfree assays as well as viability and MEK-dependent phosphorylation of BRAF-mutant human melanoma cell lines. Binimetinib also inhibited in vivo ERK phosphorylation and tumor growth in BRAF-mutant murine xenograft models."
"estrone sulphate"	"used therapeutically in menopausal patients"
tioconazole	A racemate comprising equimolar amounts of (R)- and (S)-tioconazole.
dronabinol	"A psychoactive compound extracted from the resin of Cannabis sativa (marihuana, hashish). The isomer delta-9-tetrahydrocannabinol (THC) is considered the most active form, producing characteristic mood and perceptual changes associated with this compound."
tiagabine	"The precise mechanism by which tiagabine exerts its antiseizure effect is unknown, although it is believed to be related to its ability to block GABA uptake into presynaptic neurons, permitting more GABA to be available for receptor binding on the surfaces of post-synaptic cells."
alcaftadine	"Alcaftadine is an H1 histamine receptor antagonist and inhibitor of the release of histamine from mast cells. Decreased chemotaxis and inhibition of eosinophil activation has also been demonstrated."
